Symbol,Feature,Lag,P-value
ACB_train,open,1,1.670253150641986e-271
ACB_train,open,2,0.0
ACB_train,open,3,0.0
ACB_train,open,4,0.0
ACB_train,open,5,0.0
ACB_train,open,6,0.0
ACB_train,open,7,0.0
ACB_train,open,8,0.0
ACB_train,open,9,0.0
ACB_train,open,10,0.0
ACB_train,open,11,0.0
ACB_train,open,12,0.0
ACB_train,open,13,0.0
ACB_train,open,14,0.0
ACB_train,open,15,0.0
ACB_train,open,16,0.0
ACB_train,open,17,0.0
ACB_train,open,18,0.0
ACB_train,open,19,0.0
ACB_train,open,20,0.0
ACB_train,open,21,0.0
ACB_train,open,22,0.0
ACB_train,open,23,0.0
ACB_train,open,24,0.0
ACB_train,open,25,0.0
ACB_train,open,26,0.0
ACB_train,open,27,0.0
ACB_train,open,28,0.0
ACB_train,open,29,0.0
ACB_train,open,30,0.0
ACB_train,high,1,6.283670257449107e-272
ACB_train,high,2,0.0
ACB_train,high,3,0.0
ACB_train,high,4,0.0
ACB_train,high,5,0.0
ACB_train,high,6,0.0
ACB_train,high,7,0.0
ACB_train,high,8,0.0
ACB_train,high,9,0.0
ACB_train,high,10,0.0
ACB_train,high,11,0.0
ACB_train,high,12,0.0
ACB_train,high,13,0.0
ACB_train,high,14,0.0
ACB_train,high,15,0.0
ACB_train,high,16,0.0
ACB_train,high,17,0.0
ACB_train,high,18,0.0
ACB_train,high,19,0.0
ACB_train,high,20,0.0
ACB_train,high,21,0.0
ACB_train,high,22,0.0
ACB_train,high,23,0.0
ACB_train,high,24,0.0
ACB_train,high,25,0.0
ACB_train,high,26,0.0
ACB_train,high,27,0.0
ACB_train,high,28,0.0
ACB_train,high,29,0.0
ACB_train,high,30,0.0
ACB_train,low,1,1.0291471777809924e-271
ACB_train,low,2,0.0
ACB_train,low,3,0.0
ACB_train,low,4,0.0
ACB_train,low,5,0.0
ACB_train,low,6,0.0
ACB_train,low,7,0.0
ACB_train,low,8,0.0
ACB_train,low,9,0.0
ACB_train,low,10,0.0
ACB_train,low,11,0.0
ACB_train,low,12,0.0
ACB_train,low,13,0.0
ACB_train,low,14,0.0
ACB_train,low,15,0.0
ACB_train,low,16,0.0
ACB_train,low,17,0.0
ACB_train,low,18,0.0
ACB_train,low,19,0.0
ACB_train,low,20,0.0
ACB_train,low,21,0.0
ACB_train,low,22,0.0
ACB_train,low,23,0.0
ACB_train,low,24,0.0
ACB_train,low,25,0.0
ACB_train,low,26,0.0
ACB_train,low,27,0.0
ACB_train,low,28,0.0
ACB_train,low,29,0.0
ACB_train,low,30,0.0
ACB_train,close,1,9.767429129324171e-272
ACB_train,close,2,0.0
ACB_train,close,3,0.0
ACB_train,close,4,0.0
ACB_train,close,5,0.0
ACB_train,close,6,0.0
ACB_train,close,7,0.0
ACB_train,close,8,0.0
ACB_train,close,9,0.0
ACB_train,close,10,0.0
ACB_train,close,11,0.0
ACB_train,close,12,0.0
ACB_train,close,13,0.0
ACB_train,close,14,0.0
ACB_train,close,15,0.0
ACB_train,close,16,0.0
ACB_train,close,17,0.0
ACB_train,close,18,0.0
ACB_train,close,19,0.0
ACB_train,close,20,0.0
ACB_train,close,21,0.0
ACB_train,close,22,0.0
ACB_train,close,23,0.0
ACB_train,close,24,0.0
ACB_train,close,25,0.0
ACB_train,close,26,0.0
ACB_train,close,27,0.0
ACB_train,close,28,0.0
ACB_train,close,29,0.0
ACB_train,close,30,0.0
BCM_train,open,1,4.0461058750868543e-271
BCM_train,open,2,0.0
BCM_train,open,3,0.0
BCM_train,open,4,0.0
BCM_train,open,5,0.0
BCM_train,open,6,0.0
BCM_train,open,7,0.0
BCM_train,open,8,0.0
BCM_train,open,9,0.0
BCM_train,open,10,0.0
BCM_train,open,11,0.0
BCM_train,open,12,0.0
BCM_train,open,13,0.0
BCM_train,open,14,0.0
BCM_train,open,15,0.0
BCM_train,open,16,0.0
BCM_train,open,17,0.0
BCM_train,open,18,0.0
BCM_train,open,19,0.0
BCM_train,open,20,0.0
BCM_train,open,21,0.0
BCM_train,open,22,0.0
BCM_train,open,23,0.0
BCM_train,open,24,0.0
BCM_train,open,25,0.0
BCM_train,open,26,0.0
BCM_train,open,27,0.0
BCM_train,open,28,0.0
BCM_train,open,29,0.0
BCM_train,open,30,0.0
BCM_train,high,1,9.651891781466458e-272
BCM_train,high,2,0.0
BCM_train,high,3,0.0
BCM_train,high,4,0.0
BCM_train,high,5,0.0
BCM_train,high,6,0.0
BCM_train,high,7,0.0
BCM_train,high,8,0.0
BCM_train,high,9,0.0
BCM_train,high,10,0.0
BCM_train,high,11,0.0
BCM_train,high,12,0.0
BCM_train,high,13,0.0
BCM_train,high,14,0.0
BCM_train,high,15,0.0
BCM_train,high,16,0.0
BCM_train,high,17,0.0
BCM_train,high,18,0.0
BCM_train,high,19,0.0
BCM_train,high,20,0.0
BCM_train,high,21,0.0
BCM_train,high,22,0.0
BCM_train,high,23,0.0
BCM_train,high,24,0.0
BCM_train,high,25,0.0
BCM_train,high,26,0.0
BCM_train,high,27,0.0
BCM_train,high,28,0.0
BCM_train,high,29,0.0
BCM_train,high,30,0.0
BCM_train,low,1,2.065750176441118e-271
BCM_train,low,2,0.0
BCM_train,low,3,0.0
BCM_train,low,4,0.0
BCM_train,low,5,0.0
BCM_train,low,6,0.0
BCM_train,low,7,0.0
BCM_train,low,8,0.0
BCM_train,low,9,0.0
BCM_train,low,10,0.0
BCM_train,low,11,0.0
BCM_train,low,12,0.0
BCM_train,low,13,0.0
BCM_train,low,14,0.0
BCM_train,low,15,0.0
BCM_train,low,16,0.0
BCM_train,low,17,0.0
BCM_train,low,18,0.0
BCM_train,low,19,0.0
BCM_train,low,20,0.0
BCM_train,low,21,0.0
BCM_train,low,22,0.0
BCM_train,low,23,0.0
BCM_train,low,24,0.0
BCM_train,low,25,0.0
BCM_train,low,26,0.0
BCM_train,low,27,0.0
BCM_train,low,28,0.0
BCM_train,low,29,0.0
BCM_train,low,30,0.0
BCM_train,close,1,1.2383006921560192e-271
BCM_train,close,2,0.0
BCM_train,close,3,0.0
BCM_train,close,4,0.0
BCM_train,close,5,0.0
BCM_train,close,6,0.0
BCM_train,close,7,0.0
BCM_train,close,8,0.0
BCM_train,close,9,0.0
BCM_train,close,10,0.0
BCM_train,close,11,0.0
BCM_train,close,12,0.0
BCM_train,close,13,0.0
BCM_train,close,14,0.0
BCM_train,close,15,0.0
BCM_train,close,16,0.0
BCM_train,close,17,0.0
BCM_train,close,18,0.0
BCM_train,close,19,0.0
BCM_train,close,20,0.0
BCM_train,close,21,0.0
BCM_train,close,22,0.0
BCM_train,close,23,0.0
BCM_train,close,24,0.0
BCM_train,close,25,0.0
BCM_train,close,26,0.0
BCM_train,close,27,0.0
BCM_train,close,28,0.0
BCM_train,close,29,0.0
BCM_train,close,30,0.0
BID_train,open,1,1.1217731298361527e-268
BID_train,open,2,0.0
BID_train,open,3,0.0
BID_train,open,4,0.0
BID_train,open,5,0.0
BID_train,open,6,0.0
BID_train,open,7,0.0
BID_train,open,8,0.0
BID_train,open,9,0.0
BID_train,open,10,0.0
BID_train,open,11,0.0
BID_train,open,12,0.0
BID_train,open,13,0.0
BID_train,open,14,0.0
BID_train,open,15,0.0
BID_train,open,16,0.0
BID_train,open,17,0.0
BID_train,open,18,0.0
BID_train,open,19,0.0
BID_train,open,20,0.0
BID_train,open,21,0.0
BID_train,open,22,0.0
BID_train,open,23,0.0
BID_train,open,24,0.0
BID_train,open,25,0.0
BID_train,open,26,0.0
BID_train,open,27,0.0
BID_train,open,28,0.0
BID_train,open,29,0.0
BID_train,open,30,0.0
BID_train,high,1,1.1662710988197058e-270
BID_train,high,2,0.0
BID_train,high,3,0.0
BID_train,high,4,0.0
BID_train,high,5,0.0
BID_train,high,6,0.0
BID_train,high,7,0.0
BID_train,high,8,0.0
BID_train,high,9,0.0
BID_train,high,10,0.0
BID_train,high,11,0.0
BID_train,high,12,0.0
BID_train,high,13,0.0
BID_train,high,14,0.0
BID_train,high,15,0.0
BID_train,high,16,0.0
BID_train,high,17,0.0
BID_train,high,18,0.0
BID_train,high,19,0.0
BID_train,high,20,0.0
BID_train,high,21,0.0
BID_train,high,22,0.0
BID_train,high,23,0.0
BID_train,high,24,0.0
BID_train,high,25,0.0
BID_train,high,26,0.0
BID_train,high,27,0.0
BID_train,high,28,0.0
BID_train,high,29,0.0
BID_train,high,30,0.0
BID_train,low,1,1.3364379664064984e-269
BID_train,low,2,0.0
BID_train,low,3,0.0
BID_train,low,4,0.0
BID_train,low,5,0.0
BID_train,low,6,0.0
BID_train,low,7,0.0
BID_train,low,8,0.0
BID_train,low,9,0.0
BID_train,low,10,0.0
BID_train,low,11,0.0
BID_train,low,12,0.0
BID_train,low,13,0.0
BID_train,low,14,0.0
BID_train,low,15,0.0
BID_train,low,16,0.0
BID_train,low,17,0.0
BID_train,low,18,0.0
BID_train,low,19,0.0
BID_train,low,20,0.0
BID_train,low,21,0.0
BID_train,low,22,0.0
BID_train,low,23,0.0
BID_train,low,24,0.0
BID_train,low,25,0.0
BID_train,low,26,0.0
BID_train,low,27,0.0
BID_train,low,28,0.0
BID_train,low,29,0.0
BID_train,low,30,0.0
BID_train,close,1,1.8769035540763675e-269
BID_train,close,2,0.0
BID_train,close,3,0.0
BID_train,close,4,0.0
BID_train,close,5,0.0
BID_train,close,6,0.0
BID_train,close,7,0.0
BID_train,close,8,0.0
BID_train,close,9,0.0
BID_train,close,10,0.0
BID_train,close,11,0.0
BID_train,close,12,0.0
BID_train,close,13,0.0
BID_train,close,14,0.0
BID_train,close,15,0.0
BID_train,close,16,0.0
BID_train,close,17,0.0
BID_train,close,18,0.0
BID_train,close,19,0.0
BID_train,close,20,0.0
BID_train,close,21,0.0
BID_train,close,22,0.0
BID_train,close,23,0.0
BID_train,close,24,0.0
BID_train,close,25,0.0
BID_train,close,26,0.0
BID_train,close,27,0.0
BID_train,close,28,0.0
BID_train,close,29,0.0
BID_train,close,30,0.0
BVH_train,open,1,1.7693504758699753e-269
BVH_train,open,2,0.0
BVH_train,open,3,0.0
BVH_train,open,4,0.0
BVH_train,open,5,0.0
BVH_train,open,6,0.0
BVH_train,open,7,0.0
BVH_train,open,8,0.0
BVH_train,open,9,0.0
BVH_train,open,10,0.0
BVH_train,open,11,0.0
BVH_train,open,12,0.0
BVH_train,open,13,0.0
BVH_train,open,14,0.0
BVH_train,open,15,0.0
BVH_train,open,16,0.0
BVH_train,open,17,0.0
BVH_train,open,18,0.0
BVH_train,open,19,0.0
BVH_train,open,20,0.0
BVH_train,open,21,0.0
BVH_train,open,22,0.0
BVH_train,open,23,0.0
BVH_train,open,24,0.0
BVH_train,open,25,0.0
BVH_train,open,26,0.0
BVH_train,open,27,0.0
BVH_train,open,28,0.0
BVH_train,open,29,0.0
BVH_train,open,30,0.0
BVH_train,high,1,7.354346296433007e-271
BVH_train,high,2,0.0
BVH_train,high,3,0.0
BVH_train,high,4,0.0
BVH_train,high,5,0.0
BVH_train,high,6,0.0
BVH_train,high,7,0.0
BVH_train,high,8,0.0
BVH_train,high,9,0.0
BVH_train,high,10,0.0
BVH_train,high,11,0.0
BVH_train,high,12,0.0
BVH_train,high,13,0.0
BVH_train,high,14,0.0
BVH_train,high,15,0.0
BVH_train,high,16,0.0
BVH_train,high,17,0.0
BVH_train,high,18,0.0
BVH_train,high,19,0.0
BVH_train,high,20,0.0
BVH_train,high,21,0.0
BVH_train,high,22,0.0
BVH_train,high,23,0.0
BVH_train,high,24,0.0
BVH_train,high,25,0.0
BVH_train,high,26,0.0
BVH_train,high,27,0.0
BVH_train,high,28,0.0
BVH_train,high,29,0.0
BVH_train,high,30,0.0
BVH_train,low,1,1.6544790954590014e-270
BVH_train,low,2,0.0
BVH_train,low,3,0.0
BVH_train,low,4,0.0
BVH_train,low,5,0.0
BVH_train,low,6,0.0
BVH_train,low,7,0.0
BVH_train,low,8,0.0
BVH_train,low,9,0.0
BVH_train,low,10,0.0
BVH_train,low,11,0.0
BVH_train,low,12,0.0
BVH_train,low,13,0.0
BVH_train,low,14,0.0
BVH_train,low,15,0.0
BVH_train,low,16,0.0
BVH_train,low,17,0.0
BVH_train,low,18,0.0
BVH_train,low,19,0.0
BVH_train,low,20,0.0
BVH_train,low,21,0.0
BVH_train,low,22,0.0
BVH_train,low,23,0.0
BVH_train,low,24,0.0
BVH_train,low,25,0.0
BVH_train,low,26,0.0
BVH_train,low,27,0.0
BVH_train,low,28,0.0
BVH_train,low,29,0.0
BVH_train,low,30,0.0
BVH_train,close,1,1.9016353059614796e-270
BVH_train,close,2,0.0
BVH_train,close,3,0.0
BVH_train,close,4,0.0
BVH_train,close,5,0.0
BVH_train,close,6,0.0
BVH_train,close,7,0.0
BVH_train,close,8,0.0
BVH_train,close,9,0.0
BVH_train,close,10,0.0
BVH_train,close,11,0.0
BVH_train,close,12,0.0
BVH_train,close,13,0.0
BVH_train,close,14,0.0
BVH_train,close,15,0.0
BVH_train,close,16,0.0
BVH_train,close,17,0.0
BVH_train,close,18,0.0
BVH_train,close,19,0.0
BVH_train,close,20,0.0
BVH_train,close,21,0.0
BVH_train,close,22,0.0
BVH_train,close,23,0.0
BVH_train,close,24,0.0
BVH_train,close,25,0.0
BVH_train,close,26,0.0
BVH_train,close,27,0.0
BVH_train,close,28,0.0
BVH_train,close,29,0.0
BVH_train,close,30,0.0
CTG_train,open,1,6.285775524223593e-272
CTG_train,open,2,0.0
CTG_train,open,3,0.0
CTG_train,open,4,0.0
CTG_train,open,5,0.0
CTG_train,open,6,0.0
CTG_train,open,7,0.0
CTG_train,open,8,0.0
CTG_train,open,9,0.0
CTG_train,open,10,0.0
CTG_train,open,11,0.0
CTG_train,open,12,0.0
CTG_train,open,13,0.0
CTG_train,open,14,0.0
CTG_train,open,15,0.0
CTG_train,open,16,0.0
CTG_train,open,17,0.0
CTG_train,open,18,0.0
CTG_train,open,19,0.0
CTG_train,open,20,0.0
CTG_train,open,21,0.0
CTG_train,open,22,0.0
CTG_train,open,23,0.0
CTG_train,open,24,0.0
CTG_train,open,25,0.0
CTG_train,open,26,0.0
CTG_train,open,27,0.0
CTG_train,open,28,0.0
CTG_train,open,29,0.0
CTG_train,open,30,0.0
CTG_train,high,1,1.089537718942512e-272
CTG_train,high,2,0.0
CTG_train,high,3,0.0
CTG_train,high,4,0.0
CTG_train,high,5,0.0
CTG_train,high,6,0.0
CTG_train,high,7,0.0
CTG_train,high,8,0.0
CTG_train,high,9,0.0
CTG_train,high,10,0.0
CTG_train,high,11,0.0
CTG_train,high,12,0.0
CTG_train,high,13,0.0
CTG_train,high,14,0.0
CTG_train,high,15,0.0
CTG_train,high,16,0.0
CTG_train,high,17,0.0
CTG_train,high,18,0.0
CTG_train,high,19,0.0
CTG_train,high,20,0.0
CTG_train,high,21,0.0
CTG_train,high,22,0.0
CTG_train,high,23,0.0
CTG_train,high,24,0.0
CTG_train,high,25,0.0
CTG_train,high,26,0.0
CTG_train,high,27,0.0
CTG_train,high,28,0.0
CTG_train,high,29,0.0
CTG_train,high,30,0.0
CTG_train,low,1,3.811393108446845e-272
CTG_train,low,2,0.0
CTG_train,low,3,0.0
CTG_train,low,4,0.0
CTG_train,low,5,0.0
CTG_train,low,6,0.0
CTG_train,low,7,0.0
CTG_train,low,8,0.0
CTG_train,low,9,0.0
CTG_train,low,10,0.0
CTG_train,low,11,0.0
CTG_train,low,12,0.0
CTG_train,low,13,0.0
CTG_train,low,14,0.0
CTG_train,low,15,0.0
CTG_train,low,16,0.0
CTG_train,low,17,0.0
CTG_train,low,18,0.0
CTG_train,low,19,0.0
CTG_train,low,20,0.0
CTG_train,low,21,0.0
CTG_train,low,22,0.0
CTG_train,low,23,0.0
CTG_train,low,24,0.0
CTG_train,low,25,0.0
CTG_train,low,26,0.0
CTG_train,low,27,0.0
CTG_train,low,28,0.0
CTG_train,low,29,0.0
CTG_train,low,30,0.0
CTG_train,close,1,3.9109408708367714e-272
CTG_train,close,2,0.0
CTG_train,close,3,0.0
CTG_train,close,4,0.0
CTG_train,close,5,0.0
CTG_train,close,6,0.0
CTG_train,close,7,0.0
CTG_train,close,8,0.0
CTG_train,close,9,0.0
CTG_train,close,10,0.0
CTG_train,close,11,0.0
CTG_train,close,12,0.0
CTG_train,close,13,0.0
CTG_train,close,14,0.0
CTG_train,close,15,0.0
CTG_train,close,16,0.0
CTG_train,close,17,0.0
CTG_train,close,18,0.0
CTG_train,close,19,0.0
CTG_train,close,20,0.0
CTG_train,close,21,0.0
CTG_train,close,22,0.0
CTG_train,close,23,0.0
CTG_train,close,24,0.0
CTG_train,close,25,0.0
CTG_train,close,26,0.0
CTG_train,close,27,0.0
CTG_train,close,28,0.0
CTG_train,close,29,0.0
CTG_train,close,30,0.0
FPT_train,open,1,1.2241302707575121e-272
FPT_train,open,2,0.0
FPT_train,open,3,0.0
FPT_train,open,4,0.0
FPT_train,open,5,0.0
FPT_train,open,6,0.0
FPT_train,open,7,0.0
FPT_train,open,8,0.0
FPT_train,open,9,0.0
FPT_train,open,10,0.0
FPT_train,open,11,0.0
FPT_train,open,12,0.0
FPT_train,open,13,0.0
FPT_train,open,14,0.0
FPT_train,open,15,0.0
FPT_train,open,16,0.0
FPT_train,open,17,0.0
FPT_train,open,18,0.0
FPT_train,open,19,0.0
FPT_train,open,20,0.0
FPT_train,open,21,0.0
FPT_train,open,22,0.0
FPT_train,open,23,0.0
FPT_train,open,24,0.0
FPT_train,open,25,0.0
FPT_train,open,26,0.0
FPT_train,open,27,0.0
FPT_train,open,28,0.0
FPT_train,open,29,0.0
FPT_train,open,30,0.0
FPT_train,high,1,7.1909490128721e-273
FPT_train,high,2,0.0
FPT_train,high,3,0.0
FPT_train,high,4,0.0
FPT_train,high,5,0.0
FPT_train,high,6,0.0
FPT_train,high,7,0.0
FPT_train,high,8,0.0
FPT_train,high,9,0.0
FPT_train,high,10,0.0
FPT_train,high,11,0.0
FPT_train,high,12,0.0
FPT_train,high,13,0.0
FPT_train,high,14,0.0
FPT_train,high,15,0.0
FPT_train,high,16,0.0
FPT_train,high,17,0.0
FPT_train,high,18,0.0
FPT_train,high,19,0.0
FPT_train,high,20,0.0
FPT_train,high,21,0.0
FPT_train,high,22,0.0
FPT_train,high,23,0.0
FPT_train,high,24,0.0
FPT_train,high,25,0.0
FPT_train,high,26,0.0
FPT_train,high,27,0.0
FPT_train,high,28,0.0
FPT_train,high,29,0.0
FPT_train,high,30,0.0
FPT_train,low,1,9.899370867218372e-273
FPT_train,low,2,0.0
FPT_train,low,3,0.0
FPT_train,low,4,0.0
FPT_train,low,5,0.0
FPT_train,low,6,0.0
FPT_train,low,7,0.0
FPT_train,low,8,0.0
FPT_train,low,9,0.0
FPT_train,low,10,0.0
FPT_train,low,11,0.0
FPT_train,low,12,0.0
FPT_train,low,13,0.0
FPT_train,low,14,0.0
FPT_train,low,15,0.0
FPT_train,low,16,0.0
FPT_train,low,17,0.0
FPT_train,low,18,0.0
FPT_train,low,19,0.0
FPT_train,low,20,0.0
FPT_train,low,21,0.0
FPT_train,low,22,0.0
FPT_train,low,23,0.0
FPT_train,low,24,0.0
FPT_train,low,25,0.0
FPT_train,low,26,0.0
FPT_train,low,27,0.0
FPT_train,low,28,0.0
FPT_train,low,29,0.0
FPT_train,low,30,0.0
FPT_train,close,1,9.43289756115953e-273
FPT_train,close,2,0.0
FPT_train,close,3,0.0
FPT_train,close,4,0.0
FPT_train,close,5,0.0
FPT_train,close,6,0.0
FPT_train,close,7,0.0
FPT_train,close,8,0.0
FPT_train,close,9,0.0
FPT_train,close,10,0.0
FPT_train,close,11,0.0
FPT_train,close,12,0.0
FPT_train,close,13,0.0
FPT_train,close,14,0.0
FPT_train,close,15,0.0
FPT_train,close,16,0.0
FPT_train,close,17,0.0
FPT_train,close,18,0.0
FPT_train,close,19,0.0
FPT_train,close,20,0.0
FPT_train,close,21,0.0
FPT_train,close,22,0.0
FPT_train,close,23,0.0
FPT_train,close,24,0.0
FPT_train,close,25,0.0
FPT_train,close,26,0.0
FPT_train,close,27,0.0
FPT_train,close,28,0.0
FPT_train,close,29,0.0
FPT_train,close,30,0.0
GAS_train,open,1,2.491736506732706e-269
GAS_train,open,2,0.0
GAS_train,open,3,0.0
GAS_train,open,4,0.0
GAS_train,open,5,0.0
GAS_train,open,6,0.0
GAS_train,open,7,0.0
GAS_train,open,8,0.0
GAS_train,open,9,0.0
GAS_train,open,10,0.0
GAS_train,open,11,0.0
GAS_train,open,12,0.0
GAS_train,open,13,0.0
GAS_train,open,14,0.0
GAS_train,open,15,0.0
GAS_train,open,16,0.0
GAS_train,open,17,0.0
GAS_train,open,18,0.0
GAS_train,open,19,0.0
GAS_train,open,20,0.0
GAS_train,open,21,0.0
GAS_train,open,22,0.0
GAS_train,open,23,0.0
GAS_train,open,24,0.0
GAS_train,open,25,0.0
GAS_train,open,26,0.0
GAS_train,open,27,0.0
GAS_train,open,28,0.0
GAS_train,open,29,0.0
GAS_train,open,30,0.0
GAS_train,high,1,3.2781400303422394e-271
GAS_train,high,2,0.0
GAS_train,high,3,0.0
GAS_train,high,4,0.0
GAS_train,high,5,0.0
GAS_train,high,6,0.0
GAS_train,high,7,0.0
GAS_train,high,8,0.0
GAS_train,high,9,0.0
GAS_train,high,10,0.0
GAS_train,high,11,0.0
GAS_train,high,12,0.0
GAS_train,high,13,0.0
GAS_train,high,14,0.0
GAS_train,high,15,0.0
GAS_train,high,16,0.0
GAS_train,high,17,0.0
GAS_train,high,18,0.0
GAS_train,high,19,0.0
GAS_train,high,20,0.0
GAS_train,high,21,0.0
GAS_train,high,22,0.0
GAS_train,high,23,0.0
GAS_train,high,24,0.0
GAS_train,high,25,0.0
GAS_train,high,26,0.0
GAS_train,high,27,0.0
GAS_train,high,28,0.0
GAS_train,high,29,0.0
GAS_train,high,30,0.0
GAS_train,low,1,2.1730648639459007e-270
GAS_train,low,2,0.0
GAS_train,low,3,0.0
GAS_train,low,4,0.0
GAS_train,low,5,0.0
GAS_train,low,6,0.0
GAS_train,low,7,0.0
GAS_train,low,8,0.0
GAS_train,low,9,0.0
GAS_train,low,10,0.0
GAS_train,low,11,0.0
GAS_train,low,12,0.0
GAS_train,low,13,0.0
GAS_train,low,14,0.0
GAS_train,low,15,0.0
GAS_train,low,16,0.0
GAS_train,low,17,0.0
GAS_train,low,18,0.0
GAS_train,low,19,0.0
GAS_train,low,20,0.0
GAS_train,low,21,0.0
GAS_train,low,22,0.0
GAS_train,low,23,0.0
GAS_train,low,24,0.0
GAS_train,low,25,0.0
GAS_train,low,26,0.0
GAS_train,low,27,0.0
GAS_train,low,28,0.0
GAS_train,low,29,0.0
GAS_train,low,30,0.0
GAS_train,close,1,4.906677766170158e-270
GAS_train,close,2,0.0
GAS_train,close,3,0.0
GAS_train,close,4,0.0
GAS_train,close,5,0.0
GAS_train,close,6,0.0
GAS_train,close,7,0.0
GAS_train,close,8,0.0
GAS_train,close,9,0.0
GAS_train,close,10,0.0
GAS_train,close,11,0.0
GAS_train,close,12,0.0
GAS_train,close,13,0.0
GAS_train,close,14,0.0
GAS_train,close,15,0.0
GAS_train,close,16,0.0
GAS_train,close,17,0.0
GAS_train,close,18,0.0
GAS_train,close,19,0.0
GAS_train,close,20,0.0
GAS_train,close,21,0.0
GAS_train,close,22,0.0
GAS_train,close,23,0.0
GAS_train,close,24,0.0
GAS_train,close,25,0.0
GAS_train,close,26,0.0
GAS_train,close,27,0.0
GAS_train,close,28,0.0
GAS_train,close,29,0.0
GAS_train,close,30,0.0
GVR_train,open,1,5.31601353815279e-271
GVR_train,open,2,0.0
GVR_train,open,3,0.0
GVR_train,open,4,0.0
GVR_train,open,5,0.0
GVR_train,open,6,0.0
GVR_train,open,7,0.0
GVR_train,open,8,0.0
GVR_train,open,9,0.0
GVR_train,open,10,0.0
GVR_train,open,11,0.0
GVR_train,open,12,0.0
GVR_train,open,13,0.0
GVR_train,open,14,0.0
GVR_train,open,15,0.0
GVR_train,open,16,0.0
GVR_train,open,17,0.0
GVR_train,open,18,0.0
GVR_train,open,19,0.0
GVR_train,open,20,0.0
GVR_train,open,21,0.0
GVR_train,open,22,0.0
GVR_train,open,23,0.0
GVR_train,open,24,0.0
GVR_train,open,25,0.0
GVR_train,open,26,0.0
GVR_train,open,27,0.0
GVR_train,open,28,0.0
GVR_train,open,29,0.0
GVR_train,open,30,0.0
GVR_train,high,1,1.4481751517833926e-271
GVR_train,high,2,0.0
GVR_train,high,3,0.0
GVR_train,high,4,0.0
GVR_train,high,5,0.0
GVR_train,high,6,0.0
GVR_train,high,7,0.0
GVR_train,high,8,0.0
GVR_train,high,9,0.0
GVR_train,high,10,0.0
GVR_train,high,11,0.0
GVR_train,high,12,0.0
GVR_train,high,13,0.0
GVR_train,high,14,0.0
GVR_train,high,15,0.0
GVR_train,high,16,0.0
GVR_train,high,17,0.0
GVR_train,high,18,0.0
GVR_train,high,19,0.0
GVR_train,high,20,0.0
GVR_train,high,21,0.0
GVR_train,high,22,0.0
GVR_train,high,23,0.0
GVR_train,high,24,0.0
GVR_train,high,25,0.0
GVR_train,high,26,0.0
GVR_train,high,27,0.0
GVR_train,high,28,0.0
GVR_train,high,29,0.0
GVR_train,high,30,0.0
